mark,model,vollume,power
Honda,CB 550,550.0,1.0
Honda,CB 600F (Hornet),599.7333333333333,84.84444444444445
Honda,CB 600S,600.0,48.0
Honda,CB 650F,646.8333333333334,68.83333333333333
Honda,CB 650R,649.8863636363636,89.73863636363636
Honda,CB 650SC Nighthawk,650.0,75.0
Honda,CB 750,747.9,67.05
Honda,CB 900 Custom,900.3333333333334,87.33333333333333
Honda,CB 900F (Hornet),913.4,87.8
Honda,CB-1,399.5,1.0
Honda,CBF 1000,998.5263157894736,101.52631578947368
Honda,CBF 125T,124.66666666666667,9.0
Honda,CBF 150R,149.0,12.0
Honda,CBF 190R,185.5,17.0
Honda,CBF 500,500.0,57.0
Honda,CBF 600,600.0,56.06666666666667
Honda,CBR 1000 RR/RA Fireblade,999.7432432432432,162.09459459459458
Honda,CBR 1000F,1000.0,135.0
Honda,CBR 1100 XX Blackbird,1110.3846153846155,146.6153846153846
Honda,CBR 125R,125.0,15.0
Honda,CBR 150R,150.0,20.0
Honda,CBR 250R,252.1304347826087,24.73913043478261
Honda,CBR 300R,295.3333333333333,20.833333333333332
Honda,CBR 400R,399.8059701492537,40.71641791044776
Honda,CBR 400RR,399.5,55.0
Honda,CBR 500 R,495.85714285714283,45.0
Honda,CBR 600F,592.0289855072464,101.82608695652173
Honda,CBR 600RR,599.8644067796611,104.55932203389831
Honda,CBR 650F,649.8275862068965,72.58620689655173
Honda,CBR 650R,649.9,87.65
Honda,CBR 900RR Fireblade,892.0,85.0
Honda,CBR 919RR Fireblade,925.625,96.75
Honda,CBR 929RR Fireblade,929.0,85.71428571428571
Honda,CBR 954RR Fireblade,960.5714285714286,103.28571428571429
Honda,CBX 125,125.0,17.0
Honda,CBX 250,250.0,40.0
Honda,CD 125,125.0,11.0
Honda,CL 300,297.2,26.8
Honda,CL 400,398.0,29.0
Honda,CL 500,500.0,1.0
Honda,CMX 1100 Rebel,1096.736111111111,72.34722222222223
Honda,CR 125R,125.0,40.0
Honda,CR 250R,250.0,30.0
Honda,CR 85R,85.0,35.0
Honda,CRF 125,125.0,1.0
Honda,CRF 190L,186.28571428571428,15.857142857142858
Honda,CRF 230,230.0,20.0
Honda,CRF 250 Rally,249.95,14.25
Honda,CRF 250F,250.0,46.0
Honda,CRF 250L,249.85714285714286,22.19047619047619
Honda,CRF 250M,249.78571428571428,22.857142857142858
Honda,CRF 250R,249.85714285714286,30.761904761904763
Honda,CRF 250X,250.0,30.0
Honda,CRF 300 Rally,289.5,27.0
Honda,CRF 300L,290.6666666666667,27.5
Honda,CRF 450R,449.8695652173913,42.130434782608695
Honda,CRF 450RX,424.875,59.125
Honda,CRF 450X,450.0,31.666666666666668
Honda,CTX 1300,1300.0,50.8
Honda,CTX 700,694.5294117647059,41.588235294117645
Honda,CX,496.5,50.0
Honda,DN-01,705.0,61.5
Honda,FMX 650,650.0,38.0
Honda,FTR 223,225.88888888888889,12.444444444444445
Honda,GB 250 Clubman,250.0,15.5
Honda,GB 350S,350.0,1.0
Honda,GB 400,399.5,46.0
Honda,GL 1100,1100.0,85.0
Honda,GL 1200,1190.5,95.0
Honda,GL 1500,1507.0,73.2
